iter	Passed	Remaining
400	26193	6466
401	26252	6399
402	26313	6333
403	26375	6267
404	26435	6201
405	26503	6136
406	26567	6070
407	26629	6004
408	26692	5938
409	26755	5873
410	26815	5806
411	26875	5740
412	26939	5674
413	27004	5609
414	27069	5544
415	27132	5478
416	27203	5414
417	27294	5354
418	27360	5289
419	27424	5223
420	27488	5158
421	27551	5092
422	27618	5027
423	27683	4962
424	27745	4896
425	27807	4830
426	27870	4764
427	27930	4698
428	27990	4632
429	28051	4566
430	28111	4500
431	28173	4434
432	28235	4368
433	28298	4303
434	28362	4238
435	28429	4173
436	28493	4107
437	28555	4042
438	28615	3976
439	28678	3910
440	28739	3844
441	28802	3779
442	28866	3714
443	28925	3648
444	28987	3582
445	29050	3517
446	29110	3451
447	29175	3386
448	29240	3321
449	29300	3255
450	29365	3190
451	29437	3126
452	29512	3061
453	29579	2997
454	29649	2932
455	29714	2867
456	29775	2801
457	29838	2736
458	29925	2673
459	29999	2608
460	30071	2544
461	30137	2478
462	30200	2413
463	30273	2348
464	30337	2283
465	30401	2218
466	30465	2152
467	30528	2087
468	30588	2021
469	30646	1956
470	30705	1890
471	30766	1825
472	30826	1759
473	30885	1694
474	30950	1628
475	31012	1563
476	31074	1498
477	31133	1432
478	31194	1367
479	31256	1302
480	31318	1237
481	31377	1171
482	31439	1106
483	31498	1041
484	31560	976
485	31627	911
486	31700	846
487	31774	781
488	31840	716
489	31904	651
490	31966	585
491	32026	520
492	32087	455
493	32148	390
494	32209	325
495	32271	260
496	32336	195
497	32399	130
498	32460	65
499	32525	0
